Model: qwen3:8b (ollama)
Prompt: /home/joshuachen/work/strong_number_embedding/llm_direct_sn_unv2notyet/survey4_self_supervised_prompt_tuning/prompts/survey4_v0.1.md (2884 chars)
Dims to run: [1]

  Dim #1 — SN count — 簡單短節 (≤8) (32 candidates)
      Heb 13:25       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 13:25       → Rev 22:21        cov=0.00 place=0.60 fmt=1.00 exact=False  (0m01s)
      Heb 13:25       → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 13:25       → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 13:25       → Acts 15:15       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Heb 13:25       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 7/32: Gen 10:3 as example → 8 opponents [1.3m]
      Gen 10:3        → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:3        → Acts 15:15       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 10:3        → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:3        → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:3        → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 10:3        → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 10:3        → Luke 3:24        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m04s)
      Gen 10:3        → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 8/32: 2Sam 23:32 as example → 8 opponents [1.6m]
      2Sam 23:32      → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 23:32      → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Sam 23:32      → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 23:32      → Luke 3:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Sam 23:32      → Acts 15:15       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Sam 23:32      → Rom 15:33        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 23:32      → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Sam 23:32      → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 9/32: Ps 83:6 as example → 8 opponents [1.9m]
      Ps 83:6         → Jas 1:16         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 83:6         → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ps 83:6         → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 83:6         → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ps 83:6         → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ps 83:6         → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 83:6         → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ps 83:6         → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
    Round 10/32: Isa 3:20 as example → 8 opponents [2.1m]
      Isa 3:20        → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:20        → 1Pet 3:2         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m04s)
      Isa 3:20        → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:20        → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:20        → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:20        → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Isa 3:20        → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Isa 3:20        → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 11/32: Luke 3:24 as example → 8 opponents [2.4m]
      Luke 3:24       → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:24       → 2Sam 5:16        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:24       → Jas 1:8          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Luke 3:24       → Acts 7:50        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 3:24       → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Luke 3:24       → Jas 1:16         cov=0.00 place=0.83 fmt=1.00 exact=False  (0m02s)
      Luke 3:24       → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Luke 3:24       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 12/32: Acts 15:15 as example → 8 opponents [2.7m]
      Acts 15:15      → Josh 15:51       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 15:15      → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 15:15      → Jas 1:8          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Acts 15:15      → Gen 10:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 15:15      → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 15:15      → Heb 10:21        cov=0.00 place=0.83 fmt=1.00 exact=False  (0m01s)
      Acts 15:15      → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Acts 15:15      → Jas 1:16         cov=0.00 place=0.83 fmt=1.00 exact=False  (0m01s)
    Round 13/32: 1Cor 16:23 as example → 8 opponents [3.0m]
      1Cor 16:23      → Heb 10:18        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      1Cor 16:23      → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Cor 16:23      → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Cor 16:23      → Rev 22:21        cov=0.20 place=0.80 fmt=1.00 exact=False  (0m01s)
      1Cor 16:23      → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Cor 16:23      → Jas 1:16         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      1Cor 16:23      → 2Tim 4:22        cov=0.14 place=0.71 fmt=1.00 exact=False  (0m02s)
      1Cor 16:23      → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
    Round 14/32: 2Tim 3:3 as example → 8 opponents [3.3m]
      2Tim 3:3        → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      2Tim 3:3        → Gen 10:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 3:3        → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 3:3        → Acts 7:50        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 3:3        → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 3:3        → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      2Tim 3:3        → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Tim 3:3        → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 15/32: 1Pet 4:9 as example → 8 opponents [3.5m]
      1Pet 4:9        → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Pet 4:9        → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m05s)
      1Pet 4:9        → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Pet 4:9        → Gen 25:14        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      1Pet 4:9        → Jas 1:16         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      1Pet 4:9        → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      1Pet 4:9        → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1Pet 4:9        → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 16/32: 1John 5:21 as example → 8 opponents [3.8m]
      1John 5:21      → 2Sam 5:16        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1John 5:21      → Acts 15:15       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      1John 5:21      → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      1John 5:21      → Josh 15:51       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1John 5:21      → Gen 25:14        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1John 5:21      → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      1John 5:21      → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      1John 5:21      → Luke 3:24        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m05s)
    Round 17/32: Jas 1:16 as example → 8 opponents [4.1m]
      Jas 1:16        → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Jas 1:16        → Gen 10:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Jas 1:16        → Heb 10:18        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Jas 1:16        → Acts 7:50        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Jas 1:16        → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Jas 1:16        → Jas 1:8          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Jas 1:16        → 2Sam 5:16        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Jas 1:16        → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 18/32: Heb 10:21 as example → 8 opponents [4.4m]
      Heb 10:21       → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Heb 10:21       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 10:21       → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Heb 10:21       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 10:21       → Gen 25:14        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 10:21       → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 10:21       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Heb 10:21       → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 19/32: Rev 22:21 as example → 8 opponents [4.6m]
      Rev 22:21       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rev 22:21       → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rev 22:21       → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Rev 22:21       → Rom 1:31         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rev 22:21       → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rev 22:21       → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Rev 22:21       → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rev 22:21       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 20/32: Gen 10:22 as example → 8 opponents [4.8m]
      Gen 10:22       → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:22       → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:22       → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:22       → Gen 10:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:22       → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Gen 10:22       → Luke 3:24        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m04s)
      Gen 10:22       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Gen 10:22       → 1Pet 3:2         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
    Round 21/32: Josh 15:51 as example → 8 opponents [5.1m]
      Josh 15:51      → Heb 10:18        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Josh 15:51      → Rev 22:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Josh 15:51      → Heb 13:25        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Josh 15:51      → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Josh 15:51      → 1Pet 3:2         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Josh 15:51      → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m00s)
      Josh 15:51      → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Josh 15:51      → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 22/32: Ps 97:2 as example → 8 opponents [5.4m]
      Ps 97:2         → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → Ezek 38:5        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ps 97:2         → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ps 97:2         → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 23/32: Ezek 38:5 as example → 8 opponents [5.6m]
      Ezek 38:5       → 1John 5:21       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ezek 38:5       → Luke 3:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ezek 38:5       → Josh 15:51       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Ezek 38:5       → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ezek 38:5       → 1Cor 16:23       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ezek 38:5       → Heb 10:21        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Ezek 38:5       → Ps 97:2          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Ezek 38:5       → Gen 25:14        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
    Round 24/32: Luke 5:38 as example → 8 opponents [5.9m]
      Luke 5:38       → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m06s)
      Luke 5:38       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Luke 5:38       → Heb 10:18        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Luke 5:38       → Jas 1:16         cov=0.00 place=0.83 fmt=1.00 exact=False  (0m02s)
      Luke 5:38       → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 5:38       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Luke 5:38       → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Luke 5:38       → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
    Round 25/32: Acts 7:50 as example → 8 opponents [6.3m]
      Acts 7:50       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Acts 7:50       → Isa 3:20         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 7:50       → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m04s)
      Acts 7:50       → 2Sam 23:32       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 7:50       → 2Tim 4:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 7:50       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Acts 7:50       → Heb 10:18        cov=0.00 place=0.88 fmt=1.00 exact=False  (0m03s)
      Acts 7:50       → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m08s)
    Round 26/32: Rom 15:33 as example → 8 opponents [6.8m]
      Rom 15:33       → Isa 3:19         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 15:33       → Luke 3:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Rom 15:33       → Acts 7:50        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Rom 15:33       → 2Tim 3:3         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
      Rom 15:33       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      Rom 15:33       → 2John 1:13       cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Rom 15:33       → Ps 83:6          cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      Rom 15:33       → Gen 10:22        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
    Round 27/32: 2Tim 4:22 as example → 8 opponents [7.1m]
      2Tim 4:22       → Luke 5:38        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 4:22       → 1Pet 4:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 4:22       → Ezek 38:5        cov=0.00 place=1.00 fmt=1.00 exact=False  (0m02s)
      2Tim 4:22       → Rev 13:9         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m01s)
      2Tim 4:22       → 1Pet 3:2         cov=0.00 place=1.00 fmt=1.00 exact=False  (0m03s)
